Date,Open,High,Low,Close
31-12-2013,6307.35,6317.3,6287.3,6304
30-12-2013,6336.4,6344.05,6273.15,6291.1
27-12-2013,6292.8,6324.9,6289.4,6313.8
26-12-2013,6270.1,6302.75,6259.45,6278.9
24-12-2013,6296.45,6301.5,6262,6268.4
23-12-2013,6267.2,6317.5,6266.95,6284.5
20-12-2013,6179.95,6284.5,6170.35,6274.2
19-12-2013,6253.9,6263.75,6150.7,6166.6
18-12-2013,6129.95,6236,6129.95,6217.1
17-12-2013,6178.2,6190.55,6133,6139
16-12-2013,6168.35,6183.25,6146.05,6154.7
13-12-2013,6201.3,6208.6,6161.4,6168.4
12-12-2013,6276.75,6286.85,6230.55,6237
11-12-2013,6307.2,6326.6,6280.25,6307.9
10-12-2013,6354.7,6362.25,6307.55,6332.8
09-12-2013,6415,6415.25,6345,6363.9
06-12-2013,6234.4,6275.35,6230.75,6259.9
05-12-2013,6262.45,6300.55,6232,6241.1
04-12-2013,6187.95,6209.15,6149.9,6160.9
03-12-2013,6204.25,6225.4,6191.4,6201.8
02-12-2013,6171.15,6228.7,6171.15,6217.8
29-11-2013,6103.9,6182.5,6103.8,6176.1
28-11-2013,6092,6112.95,6068.3,6091.8
27-11-2013,6062.7,6074,6030.3,6057.1
26-11-2013,6099.25,6112.7,6047.75,6059.1
25-11-2013,6035.95,6123.5,6035.95,6115.3
22-11-2013,6027.35,6049.6,5972.8,5995.4
21-11-2013,6096.5,6097.35,5985.4,5999
20-11-2013,6186.85,6204.35,6106.95,6122.9
19-11-2013,6197.25,6212.4,6180.2,6203.3
18-11-2013,6111.05,6196.8,6110.4,6189
14-11-2013,6037,6101.65,6036.65,6056.1
13-11-2013,5998.85,6042.25,5972.45,5989.6
12-11-2013,6087.25,6108.7,6011.75,6018
11-11-2013,6110.4,6141.65,6067.75,6078.8
08-11-2013,6170.15,6185.15,6120.95,6140.7
07-11-2013,6228.9,6288.95,6180.8,6187.2
06-11-2013,6260.55,6269.7,6208.7,6215.1
