Date,Open,High,Low,Close
31-12-2012,5901.2,5919,5897.15,5905.1
28-12-2012,5887.15,5915.75,5879.5,5908.3
27-12-2012,5930.2,5930.8,5864.7,5870.1
26-12-2012,5864.95,5917.3,5859.55,5905.6
24-12-2012,5869,5871.9,5844.7,5855.7
21-12-2012,5888,5888,5841.65,5847.7
20-12-2012,5934.45,5937.6,5881.45,5916.4
19-12-2012,5917.3,5939.4,5910.8,5929.6
18-12-2012,5873.6,5905.8,5823.15,5896.8
17-12-2012,5860.5,5886.05,5850.15,5857.9
14-12-2012,5846.9,5886.1,5839.15,5879.6
13-12-2012,5900.35,5907.45,5841.35,5851.5
12-12-2012,5917.8,5924.6,5874.25,5888
11-12-2012,5923.8,5965.15,5865.45,5898.8
10-12-2012,5916.05,5919.95,5888.1,5908.9
07-12-2012,5934,5949.85,5888.65,5907.4
06-12-2012,5926.3,5942.55,5838.9,5930.9
05-12-2012,5906.6,5917.8,5891.35,5900.5
04-12-2012,5866.8,5894.95,5859,5889.2
03-12-2012,5878.25,5899.15,5854.6,5870.9
30-11-2012,5836,5885.25,5827.85,5879.8
29-11-2012,5736.7,5833.5,5736.1,5825
27-11-2012,5658.5,5733.2,5658,5727.4
26-11-2012,5648.65,5649.2,5623.45,5635.9
23-11-2012,5635.45,5637.75,5593.55,5626.6
22-11-2012,5628.6,5643.35,5608,5627.7
21-11-2012,5582.5,5620.2,5561.4,5614.8
20-11-2012,5604.8,5613.7,5548.35,5571.5
19-11-2012,5577.3,5592.75,5549.25,5571.4
16-11-2012,5624.8,5650.15,5559.8,5574
15-11-2012,5650.35,5651.65,5603.55,5631
13-11-2012,5689.7,5698.25,5660.35,5666.9
12-11-2012,5688.45,5718.9,5665.75,5683.7
09-11-2012,5731.1,5751.7,5677.75,5686.2
08-11-2012,5709,5744.5,5693.95,5738.7
07-11-2012,5718.6,5777.3,5711.4,5760.1
06-11-2012,5694.1,5730.8,5693.65,5724.4
05-11-2012,5693.05,5709.2,5679.5,5704.2
02-11-2012,5696.35,5711.3,5682.55,5697.7
01-11-2012,5609.85,5649.75,5601.95,5645
31-10-2012,5596.75,5624.4,5583.05,5619.7
30-10-2012,5656.35,5689.9,5589.9,5597.9
29-10-2012,5665.2,5698.3,5645.1,5665.6
26-10-2012,5683.55,5697.2,5641.75,5664.3
25-10-2012,5688.8,5718.75,5685.7,5705.3
23-10-2012,5715.65,5720.8,5681.45,5691.4
22-10-2012,5667.6,5721.55,5658.05,5717.1
19-10-2012,5703.3,5711.7,5660,5684.2
18-10-2012,5675.3,5722.5,5650.55,5718.7
17-10-2012,5681.1,5684.35,5633.9,5660.2
16-10-2012,5705.6,5714,5635.6,5648
15-10-2012,5674.25,5693.7,5651.05,5687.2
12-10-2012,5681.7,5725,5659.35,5676
11-10-2012,5663.5,5721.1,5636.95,5708
10-10-2012,5671.15,5686.5,5647.05,5652.1
09-10-2012,5708.15,5728.65,5677.9,5704.6
08-10-2012,5751.85,5751.85,5666.2,5676
05-10-2012,5815,5815.35,4888.2,5746.9
04-10-2012,5751.55,5807.25,5751.35,5787.6
03-10-2012,5727.7,5743.25,5715.8,5731.2
01-10-2012,5704.75,5722.95,5694,5718.8
28-09-2012,5684.8,5735.15,5683.45,5703.3
27-09-2012,5673.75,5693.7,5639.7,5649.5
26-09-2012,5653.4,5672.8,5638.65,5663.4
25-09-2012,5674.9,5702.7,5652.45,5673.9
24-09-2012,5691.95,5709.85,5662.75,5669.6
21-09-2012,5577,5720,5575.45,5691.1
20-09-2012,5536.95,5581.35,5534.9,5554.2
18-09-2012,5602.4,5620.55,5586.45,5600
17-09-2012,5631.75,5652.2,5585.15,5610
14-09-2012,5528.35,5586.65,5526.95,5577.6
