Date,Open,High,Low,Close
30-12-2016,8119.65,8197,8114.75,8185.8
29-12-2016,8030.6,8111.1,8020.8,8103.6
28-12-2016,8047.55,8100.55,8028.4,8034.8
27-12-2016,7915.05,8044.65,7903.7,8032.8
26-12-2016,7965.1,7970.05,7893.8,7908.2
23-12-2016,7972.5,8022.6,7942.05,7985.7
22-12-2016,8043.85,8046.45,7964.95,7979.1
21-12-2016,8105.85,8112.55,8053.25,8061.3
20-12-2016,8110.6,8124.1,8062.75,8082.4
19-12-2016,8126,8132.5,8094.85,8104.3
16-12-2016,8178.2,8178.7,8127.45,8139.4
15-12-2016,8128.4,8225.9,8121.95,8153.6
14-12-2016,8229.35,8229.4,8165.1,8182.4
13-12-2016,8196.15,8228.85,8155.8,8221.8
12-12-2016,8230.65,8230.65,8154.45,8170.8
09-12-2016,8271.7,8274.95,8241.95,8261.7
08-12-2016,8152.1,8256.25,8151.75,8246.8
07-12-2016,8168.4,8190.45,8077.5,8102
06-12-2016,8153.15,8178.7,8130.85,8143.1
05-12-2016,8088.75,8141.9,8056.85,8128.7
02-12-2016,8153.55,8159.3,8070.05,8086.8
01-12-2016,8244,8250.8,8185.05,8192.9
30-11-2016,8172.15,8234.25,8139.25,8224.5
29-11-2016,8131.55,8197.35,8128.7,8142.1
28-11-2016,8080.65,8146.5,8066.5,8126.9
25-11-2016,8007.95,8122.25,7976.75,8114.3
24-11-2016,8011.8,8024.85,7952.55,7965.5
23-11-2016,8051.2,8055.2,7973.1,8033.3
22-11-2016,7989.15,8019.05,7938.15,8002.3
21-11-2016,8102.1,8102.45,7916.4,7929.1
18-11-2016,8097.55,8128.95,8048.3,8074.1
17-11-2016,8105.1,8151.25,8060.3,8079.9
16-11-2016,8205.65,8210.05,8089.4,8111.6
15-11-2016,8284.85,8288.55,8093.2,8108.4
11-11-2016,8456.65,8460.6,8284.95,8296.3
10-11-2016,8555.6,8598.45,8510.7,8525.7
09-11-2016,8067.5,8476.2,8002.25,8432
08-11-2016,8540,8559.4,8480.1,8543.5
07-11-2016,8535.75,8535.85,8481.45,8497
04-11-2016,8503.6,8504,8400.25,8433.7
03-11-2016,8499.85,8537.65,8476.15,8484.9
02-11-2016,8542.8,8549.5,8504.85,8514
01-11-2016,8653.15,8669.6,8614.5,8626.2
30-10-2016,8672.35,8678.25,8616.25,8625.7
28-10-2016,8625,8653.75,8581.75,8638
27-10-2016,8607.1,8624.85,8550.25,8615.2
26-10-2016,8657.3,8657.3,8596.6,8615.2
25-10-2016,8721.7,8722.65,8663.45,8691.3
24-10-2016,8709.85,8736.95,8684.15,8708.9
21-10-2016,8708.6,8709.1,8652.05,8693
20-10-2016,8693.35,8727,8678.3,8699.4
19-10-2016,8697.5,8698.75,8636.7,8659.1
18-10-2016,8556.05,8685.1,8555.9,8677.9
17-10-2016,8612.95,8615.4,8506.15,8520.4
