Date,Open,High,Low,Close
29-12-2017,10492.35,10538.7,10488.65,10530
28-12-2017,10498.2,10534.55,10460.45,10477
27-12-2017,10531.05,10552.4,10469.25,10490
26-12-2017,10512.3,10545.45,10477.95,10531
22-12-2017,10457.3,10501.1,10448.25,10493
21-12-2017,10473.95,10473.95,10426.9,10440
20-12-2017,10494.4,10494.45,10437.15,10444
19-12-2017,10414.8,10472.2,10406,10463
18-12-2017,10263.1,10443.55,10074.8,10388
15-12-2017,10345.65,10373.1,10319.65,10333
14-12-2017,10229.3,10276.1,10141.55,10252
13-12-2017,10236.6,10296.55,10169.85,10192
12-12-2017,10324.9,10326.1,10230.2,10240
11-12-2017,10310.5,10329.2,10282.05,10322
08-12-2017,10198.45,10270.85,10195.25,10265
07-12-2017,10063.45,10182.65,10061.9,10166
06-12-2017,10088.8,10104.2,10033.35,10044
05-12-2017,10118.25,10147.95,10069.1,10118
04-12-2017,10175.05,10179.2,10095.7,10127
01-12-2017,10263.7,10272.7,10108.55,10121
30-11-2017,10332.7,10332.7,10211.25,10226
29-11-2017,10376.65,10392.95,10345.9,10361
28-11-2017,10387.9,10409.55,10355.2,10370
27-11-2017,10361.05,10407.15,10340.2,10399
24-11-2017,10366.8,10404.5,10362.25,10389
23-11-2017,10358.45,10374.3,10307.3,10348
22-11-2017,10350.8,10368.7,10309.55,10342
21-11-2017,10329.25,10358.7,10315.05,10326
20-11-2017,10287.2,10309.85,10261.5,10298
17-11-2017,10324.55,10343.6,10268.05,10283
16-11-2017,10152.9,10232.25,10139.2,10214
15-11-2017,10171.95,10175.45,10094,10118
14-11-2017,10223.4,10248,10175.55,10186
13-11-2017,10322,10334.15,10216.25,10224
10-11-2017,10304.35,10344.95,10254.1,10321
09-11-2017,10358.65,10368.45,10266.95,10308
08-11-2017,10361.95,10384.25,10285.5,10303
07-11-2017,10477.15,10485.75,10340.8,10350
06-11-2017,10431.75,10490.45,10413.75,10451
03-11-2017,10461.55,10461.7,10403.6,10452
02-11-2017,10440.5,10453,10412.55,10423
01-11-2017,10390.35,10451.65,10383.05,10440
31-10-2017,10364.9,10367.7,10323.95,10335
30-10-2017,10353.85,10384.5,10344.3,10363
27-10-2017,10362.3,10366.15,10311.3,10323
26-10-2017,10291.8,10355.65,10271.85,10343
25-10-2017,10321.15,10340.55,10240.9,10295
24-10-2017,10218.55,10237.75,10182.4,10207
23-10-2017,10176.65,10224.15,10124.5,10184
19-10-2017,10210.35,10211.95,10123.35,10146
18-10-2017,10209.4,10236.45,10175.75,10210
17-10-2017,10227.65,10251.85,10212.6,10234
16-10-2017,10207.4,10242.95,10175.1,10230
13-10-2017,10123.7,10191.9,10120.1,10167
12-10-2017,10011.2,10104.45,9977.1,10096
11-10-2017,10042.6,10067.25,9955.8,9984.8
10-10-2017,10013.7,10034,10002.3,10016
09-10-2017,9988.2,10015.75,9959.45,9988.7
06-10-2017,9908.15,9989.35,9906.6,9979.7
05-10-2017,9927,9945.95,9881.85,9888.7
04-10-2017,9884.35,9938.3,9850.65,9914.9
03-10-2017,9893.3,9895.4,9831.05,9859.5
29-09-2017,9814.3,9854,9775.35,9788.6
28-09-2017,9736.4,9789.2,9687.55,9768.9
27-09-2017,9920.6,9921.05,9714.4,9735.7
26-09-2017,9875.25,9891.35,9813,9871.5
25-09-2017,9960.1,9960.5,9816.05,9872.6
22-09-2017,10094.35,10095.05,9952.8,9964.4
21-09-2017,10139.6,10158.9,10058.6,10121
20-09-2017,10160.95,10171.05,10134.2,10141
19-09-2017,10175.6,10178.95,10129.95,10147
18-09-2017,10133.1,10171.7,10131.3,10153
15-09-2017,10062.35,10115.15,10043.65,10085
14-09-2017,10107.4,10126.5,10070.35,10086
13-09-2017,10099.25,10131.95,10063.15,10079
12-09-2017,10056.85,10097.55,10028.05,10093
11-09-2017,9971.75,10028.65,9968.8,10006
08-09-2017,9958.65,9963.6,9913.3,9934.8
07-09-2017,9945.85,9964.85,9917.2,9929.9
06-09-2017,9899.25,9931.55,9882.55,9916.2
05-09-2017,9933.25,9963.1,9901.05,9952.2
04-09-2017,9984.15,9988.4,9861,9912.8
01-09-2017,9937.65,9983.45,9909.85,9974.4
31-08-2017,9905.7,9925.1,9856.95,9917.9
30-08-2017,9859.5,9909.45,9850.8,9884.4
29-08-2017,9886.4,9887.35,9783.75,9796
28-08-2017,9907.15,9925.75,9882,9912.8
24-08-2017,9881.2,9881.5,9848.85,9857
23-08-2017,9803.05,9857.9,9786.75,9852.5
22-08-2017,9815.75,9828.45,9752.6,9765.5
21-08-2017,9864.25,9884.35,9740.1,9754.3
18-08-2017,9865.95,9865.95,9783.65,9837.4
17-08-2017,9945.55,9947.8,9883.75,9904.1
16-08-2017,9825.85,9903.95,9773.85,9897.3
14-08-2017,9755.75,9818.3,9752.1,9794.1
11-08-2017,9712.15,9771.65,9685.55,9710.8
10-08-2017,9872.85,9892.65,9776.2,9820.2
09-08-2017,9961.15,9969.8,9893.05,9908
08-08-2017,10068.35,10083.8,9947,9978.5
07-08-2017,10074.8,10088.1,10046.35,10057
04-08-2017,10008.6,10075.25,9988.35,10066
03-08-2017,10081.15,10081.15,9998.25,10013
02-08-2017,10136.3,10137.85,10054.2,10081
01-08-2017,10101.05,10128.6,10065.75,10114
31-07-2017,10034.7,10085.9,10016.95,10077
28-07-2017,9996.55,10026.05,9944.5,10014
27-07-2017,10063.25,10114.85,10005.5,10020
26-07-2017,9983.65,10025.95,9965.95,10020
25-07-2017,10010.55,10011.3,9949.1,9964.5
24-07-2017,9936.8,9982.05,9919.6,9966.4
21-07-2017,9899.6,9924.7,9838,9915.2
20-07-2017,9920.2,9922.55,9863.45,9873.3
19-07-2017,9855.95,9905.05,9851.65,9899.6
18-07-2017,9832.7,9885.35,9792.05,9827.1
17-07-2017,9908.15,9928.2,9894.7,9915.9
14-07-2017,9913.3,9913.3,9845.45,9886.3
13-07-2017,9855.8,9897.25,9853.45,9891.7
12-07-2017,9807.3,9824.95,9787.7,9816.1
11-07-2017,9797.45,9830.05,9778.85,9786
10-07-2017,9719.3,9782.15,9646.45,9771
07-07-2017,9670.35,9684.25,9642.65,9665.8
06-07-2017,9653.6,9700.7,9639.95,9674.5
05-07-2017,9619.75,9643.65,9607.35,9637.6
04-07-2017,9645.9,9650.65,9595.5,9613.3
03-07-2017,9587.95,9624,9543.55,9615
30-06-2017,9478.5,9535.8,9448.75,9520.9
29-06-2017,9522.95,9575.8,9493.8,9504.1
28-06-2017,9520.2,9522.5,9474.35,9491.2
27-06-2017,9594.05,9615.4,9473.45,9511.4
23-06-2017,9643.25,9647.65,9565.3,9574.9
22-06-2017,9642.65,9698.85,9617.75,9630
21-06-2017,9648.1,9650.45,9608.6,9633.6
20-06-2017,9670.5,9676.5,9643.75,9653.5
19-06-2017,9626.4,9673.3,9614.9,9657.5
