Date,Open,High,Low,Close
30-12-2011,4659.95,4690.45,4608.9,4624.3
29-12-2011,4681.15,4701.8,4639.05,4646.2
28-12-2011,4756.2,4756.2,4685.65,4705.8
27-12-2011,4780.2,4800.5,4723.65,4750.5
26-12-2011,4718.15,4787.25,4718.15,4779
23-12-2011,4763.2,4763.45,4693.2,4714
22-12-2011,4636.9,4740.6,4632.95,4733.8
21-12-2011,4636.45,4707.35,4601.95,4693.1
20-12-2011,4635.8,4637.25,4531.15,4544.2
19-12-2011,4623.15,4623.15,4555.9,4613.1
16-12-2011,4752.5,4818.85,4628.2,4651.6
15-12-2011,4712.8,4768.65,4673.85,4746.3
14-12-2011,4788.7,4839.55,4750.4,4763.2
13-12-2011,4733.6,4824.7,4728.5,4800.6
12-12-2011,4906.85,4910.25,4755.55,4764.6
09-12-2011,4870.75,4918.35,4841.75,4866.7
08-12-2011,5037.4,5049.05,4921.45,4943.6
07-12-2011,5050.1,5099.25,5032.25,5062.6
05-12-2011,5036.5,5055.4,5002.55,5039.1
02-12-2011,4940.85,5062.55,4918.4,5050.1
01-12-2011,4970.85,5011.9,4916.7,4936.8
30-11-2011,4766.15,4851.55,4754.8,4832
29-11-2011,4864.2,4866.1,4787.1,4805.1
28-11-2011,4769.3,4859.1,4766.4,4851.3
25-11-2011,4731.3,4767.3,4693.1,4710
24-11-2011,4707.55,4771.1,4639.1,4756.4
23-11-2011,4779.5,4779.5,4640.95,4706.4
22-11-2011,4794.85,4854,4782.55,4812.3
21-11-2011,4873.8,4873.8,4764.8,4778.3
18-11-2011,4899.15,4915.9,4837.95,4905.8
17-11-2011,5027.1,5036.8,4919.45,4934.7
16-11-2011,5059.1,5065.2,4989.5,5030.4
15-11-2011,5131.2,5158.75,5052.85,5068.5
14-11-2011,5217.35,5228.9,5140.55,5148.3
11-11-2011,5159.75,5198.6,5142.25,5168.8
09-11-2011,5309.7,5317.5,5211.75,5221
08-11-2011,5292.25,5304.25,5252,5289.3
04-11-2011,5325.4,5326.45,5256.8,5284.2
03-11-2011,5241.55,5281.6,5201.85,5265.7
02-11-2011,5216.75,5300.1,5204.95,5258.4
01-11-2011,5278.6,5310.85,5238.3,5257.9
31-10-2011,5358.9,5360.25,5314.6,5326.6
28-10-2011,5341.9,5399.7,5322.8,5360.7
26-10-2011,5214.95,5219.25,5196.15,5201.8
